,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mount Gambier,-37.83,140.77,53.6,87,90,8.05,AU,1619183172
1,Dwārka,22.24,68.97,83.71,70,100,15.9,IN,1619183304
2,Talnakh,69.49,88.4,33.39,89,89,14.34,RU,1619183305
3,Mataura,-46.19,168.86,48.0,95,34,1.99,NZ,1619183306
4,Kangaatsiaq,68.31,-53.46,26.15,75,85,7.76,GL,1619183306
5,Paso de Carrasco,-34.86,-56.05,69.8,68,20,14.97,UY,1619183050
6,Hermanus,-34.42,19.23,75.99,55,10,5.01,ZA,1619183307
7,Colares,38.8,-9.45,62.01,88,75,16.11,PT,1619183307
8,Saskylakh,71.92,114.08,18.77,93,100,8.05,RU,1619183308
9,Varberg,57.11,12.25,50.0,49,0,15.01,SE,1619183308
10,Shizunai-furukawachō,42.33,142.37,41.72,78,100,6.49,JP,1619183235
11,Upernavik,72.79,-56.15,26.15,69,100,5.5,GL,1619183309
12,Makat,47.65,53.35,57.15,41,100,13.06,KZ,1619183309
13,Ushuaia,-54.8,-68.3,39.2,100,90,10.36,AR,1619183139
14,Jamestown,42.1,-79.24,39.99,69,1,9.22,US,1619183148
15,Mahébourg,-20.41,57.7,80.6,78,75,10.36,MU,1619183310
16,Hilo,19.73,-155.09,71.6,78,90,5.75,US,1619183311
17,Bilibino,68.05,166.44,14.95,91,100,7.2,RU,1619183311
18,Vaini,-21.2,-175.2,73.4,100,20,1.14,TO,1619183312
19,Cidreira,-30.18,-50.21,71.44,72,100,14.94,BR,1619183312
20,Marabu,4.41,114.01,84.2,74,20,4.61,MY,1619183313
21,Constitución,-35.33,-72.42,56.3,75,80,1.43,CL,1619183156
22,Bluff,-46.6,168.33,48.0,95,19,1.99,NZ,1619183313
23,Saint Paul Harbor,57.79,-152.41,41.0,87,90,5.75,US,1619183314
24,Aswān,24.09,32.91,104.59,9,2,11.25,EG,1619183314
25,Castro,-24.79,-50.01,61.66,68,5,3.22,BR,1619183314
26,Dikson,73.51,80.55,32.25,97,100,19.93,RU,1619183315
27,Cockburn Town,21.46,-71.14,79.09,66,94,14.72,TC,1619183315
28,Saint-François,46.42,3.91,68.0,34,0,10.36,FR,1619183315
29,Minas,-34.38,-55.24,71.01,78,40,17.27,UY,1619183316
30,Sistranda,63.73,8.83,37.4,81,20,18.41,NO,1619183316
31,Rikitea,-23.12,-134.97,77.86,75,100,15.28,PF,1619183316
32,Punta Arenas,-53.15,-70.92,46.4,93,90,3.44,CL,1619183142
